appid;name;Precios
1803800;Emotes Creator Tool;ARS$ 539,99
1803810;Warmonger: Sins of the Naga;ARS$ 400,00
1803840;Lucky's Tale VR;ARS$ 224,99
1803870;The Knight of Turn;ARS$ 13,99
1803920;TownOfDestruction;ARS$ 13,99
1804000;MergeTD;ARS$ 82,00
1804070;Asteroids Extreme;ARS$ 53,99
1804130;Ghoul Castle 3D: Gold Edition;ARS$ 249,00
1804140;戦場のフーガ 学園コスチュームパック;ARS$ 245,50
1804150;戦場のフーガ　SAMURAIコスチュームパック;ARS$ 245,50
1803230;Late for Class: Variety King;ARS$ 249,00
1803380;PinballAdventure;ARS$ 53,99
1803390;Bounty: Drag Racing;ARS$ 1.050,00
1803400;Beneath Oresa;ARS$ 279,99
1803420;They Look Like People;ARS$ 26,99
1803440;Unnamed Arcade Engine;ARS$ 39,99
1803450;Zombie Fooker: Starring Doug Fooker;ARS$ 67,99
1803460;Christmas Wonderland 3;ARS$ 94,99
1803470;World Tree;ARS$ 26,99
1803490;Neo Spectrum;ARS$ 13,99
1803510;Curses of Tarot;ARS$ 129,99
1803530;经典象棋;ARS$ 39,99
1803550;MegaFactory Titan;ARS$ 224,99
1803560;Through the world;ARS$ 139,99
1803590;Cyclone;ARS$ 67,99
1803600;Gone Rogue;ARS$ 635,83
1803620;The Monstrous Frontier;ARS$ 179,99
1803630;She Hates Unicorns;ARS$ 13,49
1803640;ONE WAY;ARS$ 53,99
1803690;Ping Pong Pufferfish;ARS$ 13,49
1802820;Escape Covid Camp;ARS$ 39,99
1802850;Yes My Lord;ARS$ 388,00
1802860;大富翁少女;ARS$ 144,00
1802870;Secret Pie;ARS$ 475,00
1802920;Tear of Time: Lost memory;ARS$ 400,00
1802930;Nailed It;ARS$ 67,99
1802950;CUSTOM ORDER MAID 3D2 It's a Night Magic +GP01Fb;ARS$ 279,99
1802980;Yihongyuan;ARS$ 550,00
1803020;AgriLife;ARS$ 279,99
1803060;The Glade;ARS$ 82,00
1803150;Void Slayer;ARS$ 33,99
1803160;CARROT;ARS$ 400,00
1803170;Four Animals;ARS$ 82,00
1802270;TypeOut;ARS$ 400,00
1802330;INVITATION To FEAR;ARS$ 67,99
