appid;name;Precios
2403050;Below the Surface:Assassin's Prison;
2403060;Dinosaur Land Aerial Photograph;
2403080;VR Animal Kids Rumble;
2402170;Veggie Quest: The Puzzle Game;
2402230;Path of Disdain;
2402250;The Art of Layers of Fear;
2402270;Hero of the Golden Talisman;
2402280;Werewolf: The Apocalypse — The Book of Hungry Names;
2402340;Boxnauts;
2402430;Deckmate! Closed Alpha;
2402450;Zero Grounds;
2402500;Hayaku and the Island of Darkness;
2402520;Teeny Tiny Terror;
2402530;异界无赖;
2402560;導白のルセン -魔王復活-;
2401810;On the other side;
2401830;Age of Wonders 4: Empires & Ashes;
2401850;Age of Wonders 4: Primal Fury;
2401860;Age of Wonders 4: Eldritch Realms;
2401880;Тайная Комната 2015 Навсегда — Sneak Peek;
2401920;Biscuitts 5;
2401950;Ned: Iron Outlaw;
2402020;Dubai Simulator;
2402060;Hero Well;
2402070;にわとり;
2402100;Cube Airport;
2401220;Watchmakers;
2401240;Don Salmon;
2401280;Forastero;
2401340;Hells Bend on Wounded Knee;
2401350;Timeless Rain;
2401360;Burning Secrets: NSFW Edition;
2401380;Castle Crafter;
2401420;Blast Attack;
2401450;Pyrami Head;
2401460;Tamas Awakening;
2401500;Sun Haven: Sweet Mounts;
2401580;拾光集;
2401650;蒸汽传说：时之旅-机械师;
2401660;蒸汽传说：时之旅-赌徒;
2401680;Pet Shop Simulator;
2400740;PIGBLUE;
2400750;Aliens Tower Defense;
2400760;Bike Offroad Simulator;
2400770;Dungeon Tycoon;
2400780;Enemies Defender;
2400790;City of Cats;
2400810;Cube Escape;
2400850;Big Sword Hero;
2400860;Super Monkie Bounce Fatal;
2401030;Ultimate Tag;
2401060;百日行 Hundred Day Journey;
2401080;Alien Breeding Program: First Contact;
2401090;Cleanup Crew;
2401100;Necromancers' Arena;
2400280;富甲天下4;
2400290;富甲天下2;
2400340;東方獣王園 〜 Unfinished Dream of All Living Ghost.;
2400370;TENKO;
2400380;The Shifting Cavern;
2400420;Land of the Survivors;
2400510;Dungeons & Degenerate Gamblers;
2400520;Puzzle Go;
2400540;The Witch’s Cookbook;
2400560;My Motel;
2400590;彗星战团;
2400650;Valeria the Pagan Priestess;
2400670;Alpha MMXXV;
2400680;Alan's Automaton Workshop OST;
2400690;Xon;
2400700;Beginning of the Rain;
2399760;Time Bandit;
2399810;Skoory Rush;
2399840;Angry Waifu;
2399850;Drunk Or Dead 2: Prologue;
2399860;凌盘之境;
2399880;DCS: Normandy 2.0 Full by Ugra Media;
2399900;DCS: Normandy 2.0 Upgrade 2;
2399910;Byakuya Museum;
2399930;Imprisoned Hyperion 2;
2399940;Atomic Picnic: Prologue;
2399950;Gotham Knights: Gilded City Collection;
2400060;Little Devils;
2399370;SLIPPY THE FROG 🐸💦;
2399450;Frosthaven: Official Companion;
2399470;9th Land;
2399570;Skystead Ranch;
2399600;The Wonderful One: After School Hero;
2399670;Slave Lord: Elven Conquest;
2399710;Trash Bunny House;
2398900;Star Farmer;
2398930;Marbles in space;
2398940;Ceiba;
2398950;Guncade;
2398980;Avenger Sharks;
2399060;Dread Weight;
2399100;玉英公馆;
2399130;Streamer Girl Simulator;
2399140;兰古传奇: Langu Legend;
